Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Caner Erkin,3,310,0,1,0.15,6.665,0.375,0.457,0.000,0.111,0.040
Cengiz Ünder,2,226,1,0,2.8,7.12,0.250,0.333,0.063,0.000,0.040
Cenk Tosun,2,151,1,0,3,6.75,0.250,0.223,0.063,0.000,0.040
Deniz Türüç,0,53,0,0,0.5,6.06,0.000,0.078,0.000,0.000,0.000
Efecan Karaca,1,46,0,0,0,6.06,0.125,0.068,0.000,0.000,0.000
Emre Kilinc,1,76,0,0,0,7.27,0.125,0.112,0.000,0.000,0.000
Enes Ünal,1,126,0,0,0.6,6.15,0.125,0.186,0.000,0.000,0.000
Fehmi Mert Günok,5,450,0,0,0,6.47,0.625,0.664,0.000,0.000,0.000
Hakan Calhanoglu,8,659,3,4,2.45,7.32,1.000,0.972,0.188,0.444,0.280
Halil Akbunar,0,4,0,0,0,6.03,0.000,0.006,0.000,0.000,0.000
Hasan Ali Kaldirim,2,117,0,0,1,6.53,0.250,0.173,0.000,0.000,0.000
Irfan Can Kahveci,1,97,0,0,0,6.29,0.125,0.143,0.000,0.000,0.000
Kaan Ayhan,3,284,0,1,0,6.49,0.375,0.419,0.000,0.111,0.040
Kenan Karaman,8,678,3,1,1.4,6.895,1.000,1.000,0.188,0.111,0.160
Mahmut Tekdemir,4,338,0,0,0.4,6.39,0.500,0.499,0.000,0.000,0.000
Mehmet Zeki Çelik,5,380,0,0,0.15,6.715,0.625,0.560,0.000,0.000,0.000
Merih Demiral,5,450,0,0,0.6,6.64,0.625,0.664,0.000,0.000,0.000
Mert Hakan Yandas,1,58,0,0,1,6.6,0.125,0.086,0.000,0.000,0.000
Mert Müldür,3,270,0,0,0,6.96,0.375,0.398,0.000,0.000,0.000
Nazim Sangaré,1,135,0,0,0,6.48,0.125,0.199,0.000,0.000,0.000
Okay Yokuslu,5,460,0,0,0.5,6.825,0.625,0.678,0.000,0.000,0.000
Orkun Kökcü,1,67,0,0,0.5,6.21,0.125,0.099,0.000,0.000,0.000
Ozan Kabak,5,480,0,0,0.15,6.55,0.625,0.708,0.000,0.000,0.000
Ozan Tufan,8,660,3,0,1.6,7.215,1.000,0.973,0.188,0.000,0.120
Taylan Antalyali,0,71,0,0,0.3,6.19,0.000,0.105,0.000,0.000,0.000
Ugurcan Çakir,4,360,0,0,0,6.6,0.500,0.531,0.000,0.000,0.000
Umut Meras,4,447,0,1,0.15,6.775,0.500,0.659,0.000,0.111,0.040
Yusuf Yazici,4,389,0,1,1.9,6.565,0.500,0.574,0.000,0.111,0.040
Çaglar Söyüncü,5,450,1,0,0.4,6.825,0.625,0.664,0.063,0.000,0.040
Admir Mehmedi,1,88,0,0,0.35,6.145,0.143,0.140,0.000,0.000,0.000
Albian Ajeti,0,17,0,0,0,5.97,0.000,0.027,0.000,0.000,0.000
Becir Omeragic,0,6,0,0,0,6.12,0.000,0.010,0.000,0.000,0.000
Breel Embolo,5,408,1,3,0.85,7.175,0.714,0.648,0.100,0.375,0.222
Cedric Itten,0,5,0,0,0,5.92,0.000,0.008,0.000,0.000,0.000
Denis Zakaria,0,40,0,0,1,6.32,0.000,0.063,0.000,0.000,0.000
Djibril Sow,3,268,0,0,0.7,6.205,0.429,0.425,0.000,0.000,0.000
Edimilson Fernandes,1,143,0,0,0,6.46,0.143,0.227,0.000,0.000,0.000
Fabian Schär,2,180,0,0,0,5.23,0.286,0.286,0.000,0.000,0.000
Granit Xhaka,7,630,0,1,1.1,6.965,1.000,1.000,0.000,0.125,0.056
Haris Seferovic,7,615,2,1,3.4,7.05,1.000,0.976,0.200,0.125,0.167
Kevin Mbabu,2,180,0,0,0,6.085,0.286,0.286,0.000,0.000,0.000
Loris Benito,2,176,0,0,0.7,6.57,0.286,0.279,0.000,0.000,0.000
Manuel Akanji,5,450,0,0,0.4,6.71,0.714,0.714,0.000,0.000,0.000
Mario Gavranovic,1,107,2,0,1.25,6.65,0.143,0.170,0.200,0.000,0.111
Michel Aebischer,0,18,0,0,0.5,6.17,0.000,0.029,0.000,0.000,0.000
Nico Elvedi,7,619,0,0,0.6,6.89,1.000,0.983,0.000,0.000,0.000
Remo Freuler,5,413,2,1,0.6,7,0.714,0.656,0.200,0.125,0.167
Renato Steffen,1,153,0,0,0.7,6.42,0.143,0.243,0.000,0.000,0.000
Ricardo Rodríguez,7,604,0,1,0.7,7.125,1.000,0.959,0.000,0.125,0.056
Ruben Vargas,2,218,0,0,1.5,6.545,0.286,0.346,0.000,0.000,0.000
Silvan Widmer,4,331,1,0,1.15,6.835,0.571,0.525,0.100,0.000,0.056
Steven Zuber,4,304,1,0,0.95,6.7,0.571,0.483,0.100,0.000,0.056
Xherdan Shaqiri,4,324,1,1,1.5,7.085,0.571,0.514,0.100,0.125,0.111
Yann Sommer,7,630,0,0,0,6.475,1.000,1.000,0.000,0.000,0.000
Calvin Stengs,1,86,0,0,0.25,6.38,0.111,0.106,0.000,0.000,0.000
Daley Blind,7,563,0,0,0.65,6.555,0.778,0.695,0.000,0.000,0.000
Davy Klaassen,4,337,1,2,2.25,7.15,0.444,0.416,0.056,0.143,0.094
Denzel Dumfries,4,344,0,2,0.5,6.795,0.444,0.425,0.000,0.143,0.063
Donny van de Beek,2,233,2,0,0.7,6.505,0.222,0.288,0.111,0.000,0.063
Donyell Malen,3,264,1,0,2,6.535,0.333,0.326,0.056,0.000,0.031
Frenkie de Jong,9,810,0,0,0.35,7.415,1.000,1.000,0.000,0.000,0.000
