name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
אלכסנדר קרבייב,5,0,M,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,5,447,0,2,0.5,6.73,0.7142857142857143,0.7095238095238096,0.0,0.2857142857142857,0.13333333333333333,Oleksandr Karavaev
אלסנדרו שוף,5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,1,103,1,0,1.5,6.91,0.1111111111111111,0.12939698492462312,0.07142857142857142,0.0,0.04,Alessandro Schöpf
אנדריי מוסטובוי,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,0,132,0,0,0.35,6.0649999999999995,0.0,0.18565400843881857,0.0,0.0,0.0,Andrey Mostovoy
בריאן כריסטנטה,5,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,0,9,0,0,0.0,6.17,0.0,0.011111111111111112,0.0,0.0,0.0,Bryan Cristante
ג'ונתן וויליאמס,5,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,1,106,1,1,0.15,6.645,0.125,0.14722222222222223,0.1111111111111111,0.1111111111111111,0.1111111111111111,Jonathan Williams
דאלר קוזיאייב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,8,599,1,3,0.9,6.970000000000001,1.0,0.8424753867791842,0.06666666666666667,0.2727272727272727,0.15384615384615385,Daler Kuzyaev
דנילו פריירה,5,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,612,0,0,0.65,6.895,0.7777777777777778,0.7555555555555555,0.0,0.0,0.0,Danilo Pereira
דניס זקאריה,5,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,0,40,0,0,1.0,6.32,0.0,0.06349206349206349,0.0,0.0,0.0,Denis Zakaria
וויליאם קרבאליו,5,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,3,224,0,1,0.3,6.88,0.3333333333333333,0.2765432098765432,0.0,0.07142857142857142,0.03225806451612903,William Carvalho
ולנטינו לזארו,5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,0,25,0,0,0.0,5.92,0.0,0.031407035175879394,0.0,0.0,0.0,Valentino Lazaro
