name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
רובן דיאס,8,0,D,פורטוגל,9,810,2,0,0.9,7.05,1.0,1.0,0.118,0.0,0.065,Rúben Dias,0,1,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",3.196
רפאל גריירו,8,0,D,פורטוגל,5,449,0,1,1.0,7.23,0.556,0.554,0.0,0.071,0.032,Raphael Guerreiro,0,1,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",2.363
פפה,7,0,D,פורטוגל,4,360,0,1,1.0,7.43,0.444,0.444,0.0,0.071,0.032,Pepe,0,1,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",2.363
ז'וזה פונטה,7,0,D,פורטוגל,3,270,0,0,1.0,6.455,0.333,0.333,0.0,0.0,0.0,José Fonte,0,0,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",0.0
נונו מנדש,7,0,D,פורטוגל,2,198,0,0,0.3,7.28,0.222,0.244,0.0,0.0,0.0,Nuno Mendes,0,0,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",0.0
נלסון סמדו,6,0,D,פורטוגל,2,180,0,0,0.5,7.53,0.222,0.222,0.0,0.0,0.0,Nélson Semedo,0,0,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",0.0
בורנה בארישיץ',8,0,D,קרואטיה,5,439,0,1,0.15,6.635,0.556,0.542,0.0,0.125,0.05,Borna Barisic,0,1,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",2.683
דומאגוי וידה,7,0,D,קרואטיה,4,393,0,0,0.5,6.325,0.444,0.485,0.0,0.0,0.0,Domagoj Vida,0,1,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",2.0
דיאן לוברן,7,0,D,קרואטיה,7,630,1,0,0.45,6.955,0.778,0.778,0.083,0.0,0.05,Dejan Lovren,0,0,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",0.0
שימה ורסאליקו,7,0,D,קרואטיה,2,136,0,0,0.5,6.49,0.222,0.168,0.0,0.0,0.0,Sime Vrsaljko,0,1,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",2.0
דוייה צ'אלטה-צאר,6,0,D,קרואטיה,5,450,0,0,0.0,6.73,0.556,0.556,0.0,0.0,0.0,Duje Caleta-Car,0,1,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",2.0
דומאגוי בראדריץ',5,0,D,קרואטיה,1,118,0,0,0.0,6.29,0.111,0.146,0.0,0.0,0.0,Domagoj Bradaric,0,0,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",0.0
יוסיפ יוראנוביץ',4,0,D,קרואטיה,2,274,0,0,0.25,6.755,0.222,0.338,0.0,0.0,0.0,Josip Juranovic,0,0,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",0.0
מילה שקוריץ',3,0,D,קרואטיה,1,90,0,0,0.0,6.34,0.111,0.111,0.0,0.0,0.0,Mile Skoric,0,0,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",0.0
ברטוש ברשינסקי,7,0,D,פולין,6,528,0,1,0.15,6.65,0.75,0.702,0.0,0.077,0.038,Bartosz Bereszynski,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.192
יאן בדנארק,7,0,D,פולין,7,630,0,0,0.0,6.335,0.875,0.838,0.0,0.0,0.0,Jan Bednarek,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.0
קמיל גליק,7,0,D,פולין,8,752,1,0,0.65,6.805,1.0,1.0,0.077,0.0,0.038,Kamil Glik,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.384
מאצ'יי ריבוס,6,0,D,פולין,3,256,0,2,0.25,6.96,0.375,0.34,0.0,0.154,0.077,Maciej Rybus,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.384
מיכל הליק,6,0,D,פולין,2,112,0,0,0.0,5.73,0.25,0.149,0.0,0.0,0.0,Michal Helik,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.0
תומאש קדזיורה,6,0,D,פולין,5,432,0,0,0.0,6.79,0.625,0.574,0.0,0.0,0.0,Tomasz Kedziora,0,0,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",0.0
פאבל דוידוביץ',5,0,D,פולין,0,31,0,0,0.0,6.42,0.0,0.041,0.0,0.0,0.0,Pawel Dawidowicz,0,0,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",0.0
קמיל פיאטקובסקי,5,0,D,פולין,1,90,0,0,0.0,7.06,0.125,0.12,0.0,0.0,0.0,Kamil Piatkowski,0,0,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",0.0
מנואל אקנג'י,7,0,D,שווייץ,5,450,0,0,0.4,6.71,0.714,0.714,0.0,0.0,0.0,Manuel Akanji,0,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",1.0
ניקו אלבדי,7,0,D,שווייץ,7,619,0,0,0.6,6.89,1.0,0.983,0.0,0.0,0.0,Nico Elvedi,0,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",1.0
פביאן שר,7,0,D,שווייץ,2,180,0,0,0.0,5.23,0.286,0.286,0.0,0.0,0.0,Fabian Schär,0,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",1.0
ריקרדו רודריגס,7,0,D,שווייץ,7,604,0,1,0.7,7.125,1.0,0.959,0.0,0.125,0.056,Ricardo Rodríguez,1,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",3.176
סילבן ווידמר,6,0,D,שווייץ,4,331,1,0,1.15,6.835,0.571,0.525,0.1,0.0,0.056,Silvan Widmer,0,0,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",0.0
קווין אמבאבו,6,0,D,שווייץ,2,180,0,0,0.0,6.085,0.286,0.286,0.0,0.0,0.0,Kevin Mbabu,0,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",1.0
לוריס בניטו,5,0,D,שווייץ,2,176,0,0,0.7,6.57,0.286,0.279,0.0,0.0,0.0,Loris Benito,0,0,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",0.0
בצ'יר אומרגיץ',4,0,D,שווייץ,0,6,0,0,0.0,6.12,0.0,0.01,0.0,0.0,0.0,Becir Omeragic,0,0,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",0.0
אנדראס כריסטנסן,7,0,D,דנמרק,8,676,0,0,0.25,7.005,0.889,0.883,0.0,0.0,0.0,Andreas Christensen,0,1,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",1.0
דניאל ואס,7,0,D,דנמרק,8,700,0,0,0.9,7.26,0.889,0.914,0.0,0.0,0.0,Daniel Wass,0,1,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",1.0
יואקים מהלה,7,0,D,דנמרק,3,340,1,0,0.75,6.785,0.333,0.444,0.05,0.0,0.032,Joakim Maehle,0,1,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",1.359
סיימון קיאר,7,0,D,דנמרק,7,649,0,0,0.75,7.06,0.778,0.847,0.0,0.0,0.0,Simon Kjaer,0,1,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",1.0
יאניק וסטרגארד,6,0,D,דנמרק,2,196,0,0,0.0,7.06,0.222,0.256,0.0,0.0,0.0,Jannik Vestergaard,0,0,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",0.0
יואקים אנדרסן,6,0,D,דנמרק,1,128,0,0,0.0,6.94,0.111,0.167,0.0,0.0,0.0,Joachim Andersen,0,0,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",0.0
ינס סטרייגר לארסן,5,0,D,דנמרק,2,185,1,0,0.15,6.47,0.222,0.242,0.05,0.0,0.032,Jens Stryger Larsen,0,0,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",0.0
ניקולאי בוילסן,4,0,D,דנמרק,1,90,0,1,0.0,8.42,0.111,0.117,0.0,0.091,0.032,Nicolai Boilesen,0,0,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",0.0
אוזן קאבאק,6,0,D,טורקיה,5,480,0,0,0.15,6.55,0.625,0.708,0.0,0.0,0.0,Ozan Kabak,0,0,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",0.0
מריח דמיראל,6,0,D,טורקיה,5,450,0,0,0.6,6.64,0.625,0.664,0.0,0.0,0.0,Merih Demiral,0,0,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",0.0
צ'לאר סויונג'ו,6,0,D,טורקיה,5,450,1,0,0.4,6.825,0.625,0.664,0.062,0.0,0.04,Çaglar Söyüncü,0,1,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",6.503
קאן אייהאן,6,0,D,טורקיה,3,284,0,1,0.0,6.49,0.375,0.419,0.0,0.111,0.04,Kaan Ayhan,0,0,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",0.0
אומוט מראש,5,0,D,טורקיה,4,447,0,1,0.15,6.775,0.5,0.659,0.0,0.111,0.04,Umut Meras,0,1,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",6.447
מרט מולדר,5,0,D,טורקיה,3,270,0,0,0.0,6.96,0.375,0.398,0.0,0.0,0.0,Mert Müldür,0,0,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",0.0
אלכסנדר דרגוביץ',6,0,D,אוסטריה,6,546,1,0,0.35,6.67,0.667,0.686,0.071,0.0,0.04,Aleksandar Dragovic,0,1,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",1.457
אנדראס אולמר,6,0,D,אוסטריה,6,520,0,1,0.4,6.45,0.667,0.653,0.0,0.091,0.04,Andreas Ulmer,0,1,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",1.291
מרטין הינטרגר,6,0,D,אוסטריה,6,453,0,1,0.5,6.8,0.667,0.569,0.0,0.091,0.04,Martin Hinteregger,0,1,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",1.291
שטפן ליינר,6,0,D,אוסטריה,9,796,0,3,0.9,6.9,1.0,1.0,0.0,0.273,0.12,Stefan Lainer,0,1,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",1.872
פיליפ לינהרט,5,0,D,אוסטריה,1,90,0,0,0.0,6.75,0.111,0.113,0.0,0.0,0.0,Philipp Lienhart,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
שטפן פוש,5,0,D,אוסטריה,2,225,0,0,0.5,6.385,0.222,0.283,0.0,0.0,0.0,Stefan Posch,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
כריסטופר טרימל,4,0,D,אוסטריה,0,31,0,0,0.0,6.21,0.0,0.039,0.0,0.0,0.0,Christopher Trimmel,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
מרקו פרידל,4,0,D,אוסטריה,0,8,0,0,0.0,5.97,0.0,0.01,0.0,0.0,0.0,Marco Friedl,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
מריו פרננדס,7,0,D,רוסיה,5,450,3,0,1.1,7.305,0.625,0.633,0.2,0.0,0.115,Mario Fernandes,0,0,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",0.0
אנדריי סמנוב,6,0,D,רוסיה,8,641,0,1,0.0,6.74,1.0,0.902,0.0,0.091,0.038,Andrey Semenov,0,1,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",6.551
גיאורגי דז'יקיה,6,0,D,רוסיה,7,630,0,0,0.75,6.345,0.875,0.886,0.0,0.0,0.0,Georgi Dzhikiya,0,1,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",6.0
יורי ז'ירקוב,6,0,D,רוסיה,7,564,0,0,0.85,6.46,0.875,0.793,0.0,0.0,0.0,Yuri Zhirkov,0,1,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",6.0
פדור קודריאשוב,6,0,D,רוסיה,6,540,0,0,0.0,6.41,0.75,0.759,0.0,0.0,0.0,Fedor Kudryashov,0,0,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",0.0
ויאצ'יסלב קרבאייב,5,0,D,רוסיה,4,474,1,1,0.65,6.54,0.5,0.667,0.067,0.091,0.077,Vyacheslav Karavaev,0,0,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",0.0
איגור דיבייב,4,0,D,רוסיה,1,46,0,0,0.0,5.43,0.125,0.065,0.0,0.0,0.0,Igor Diveev,0,0,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",0.0
אלכסנדר זינצ'נקו,7,0,D,אוקראינה,6,536,1,1,1.85,6.865,0.857,0.851,0.125,0.143,0.133,Oleksandr Zinchenko,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",8.407
אלכסנדר קראבייב,6,0,D,אוקראינה,5,447,0,2,0.5,6.73,0.714,0.71,0.0,0.286,0.133,Oleksandr Karavaev,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",7.751
ויטלי מיקולנקו,6,0,D,אוקראינה,4,358,0,0,0.5,6.16,0.571,0.568,0.0,0.0,0.0,Vitalii Mykolenko,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",6.0
מיקולה מטביינקו,6,0,D,אוקראינה,6,540,0,0,0.0,6.665,0.857,0.857,0.0,0.0,0.0,Mykola Matvienko,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",6.0
סרגיי קריבצוב,6,0,D,אוקראינה,4,360,0,0,0.5,6.305,0.571,0.571,0.0,0.0,0.0,Serhii Kryvtsov,0,0,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",0.0
אדוארד סובול,4,0,D,אוקראינה,4,360,0,0,0.0,6.285,0.571,0.571,0.0,0.0,0.0,Eduard Sobol,0,0,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",0.0
איליה זבארני,4,0,D,אוקראינה,5,450,0,0,0.0,6.46,0.714,0.714,0.0,0.0,0.0,Illia Zabarnyi,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",6.0
אלכסנדר טימצ'יק,4,0,D,אוקראינה,2,183,0,1,0.25,6.32,0.286,0.29,0.0,0.143,0.067,Oleksandr Tymchyk,0,0,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",0.0
ויקטור לינדלוף,7,0,D,שבדיה,7,606,0,0,0.35,6.875,0.875,0.868,0.0,0.0,0.0,Victor Lindelöf,0,1,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",6.0
לודוויג אוגוסטינסון,7,0,D,שבדיה,4,353,1,0,0.5,6.755,0.5,0.506,0.111,0.0,0.067,Ludwig Augustinsson,0,1,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",7.601
אמיל קראפט,6,0,D,שבדיה,1,120,0,0,0.0,6.185,0.125,0.172,0.0,0.0,0.0,Emil Krafth,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
מרטין אולסון,5,0,D,שבדיה,0,2,0,0,0.0,6.01,0.0,0.003,0.0,0.0,0.0,Martin Olsson,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
פונטוס ינסון,5,0,D,שבדיה,4,360,0,0,0.3,6.03,0.5,0.516,0.0,0.0,0.0,Pontus Jansson,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
פיליפ הלנדר,5,0,D,שבדיה,3,294,0,0,0.25,6.74,0.375,0.421,0.0,0.0,0.0,Filip Helander,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
מרכוס דניאלסון,4,0,D,שבדיה,2,180,1,0,1.0,6.79,0.25,0.258,0.111,0.0,0.067,Marcus Danielson,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
ולדימיר צופאל,6,0,D,צ`כיה,7,627,1,1,0.55,6.975,1.0,0.995,0.067,0.083,0.074,Vladimir Coufal,0,1,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",2.707
אונדרי צ'לוסטקה,5,0,D,צ`כיה,6,465,0,0,0.85,6.535,0.857,0.738,0.0,0.0,0.0,Ondrej Celustka,0,1,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",2.0
יאן בוז'יל,5,0,D,צ`כיה,6,540,0,0,1.0,6.845,0.857,0.857,0.0,0.0,0.0,Jan Boril,0,1,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",2.0
פאבל קדז'אבק,5,0,D,צ`כיה,1,133,0,1,0.75,6.47,0.143,0.211,0.0,0.083,0.037,Pavel Kaderábek,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
תומאס קאלאס,5,0,D,צ`כיה,3,270,0,0,0.7,7.03,0.429,0.429,0.0,0.0,0.0,Tomas Kalas,0,1,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",2.0
דויד זימה,4,0,D,צ`כיה,0,5,0,0,0.0,5.96,0.0,0.008,0.0,0.0,0.0,David Zima,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
יאקוב ברבץ,4,0,D,צ`כיה,2,180,0,0,0.0,7.54,0.286,0.286,0.0,0.0,0.0,Jakub Brabec,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
אלש מאטייו,3,0,D,צ`כיה,2,180,0,0,0.5,7.34,0.286,0.286,0.0,0.0,0.0,Ales Mateju,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
אואן וינדאל,8,0,D,הולנד,4,361,0,2,0.75,7.085,0.444,0.446,0.0,0.143,0.062,Owen Wijndal,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.939
דיילי בלינד,8,0,D,הולנד,7,563,0,0,0.65,6.555,0.778,0.695,0.0,0.0,0.0,Daley Blind,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.0
דנזל דמפריס,8,0,D,הולנד,4,344,0,2,0.5,6.795,0.444,0.425,0.0,0.143,0.062,Denzel Dumfries,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.939
מתייס דה ליכט,8,0,D,הולנד,3,270,0,0,1.7,7.61,0.333,0.333,0.0,0.0,0.0,Matthijs de Ligt,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.0
יואל פלטמן,7,0,D,הולנד,2,193,0,0,0.0,6.68,0.222,0.238,0.0,0.0,0.0,Joël Veltman,0,0,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",0.0
סטפן דה פריי,7,0,D,הולנד,4,360,0,0,0.8,6.9,0.444,0.444,0.0,0.0,0.0,Stefan de Vrij,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.0
נייתן אקה,6,0,D,הולנד,3,265,0,0,0.5,6.7,0.333,0.327,0.0,0.0,0.0,Nathan Aké,0,0,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",0.0
מילאן שקריניאר,6,0,D,סלובקיה,7,630,2,1,0.8,6.995,1.0,1.0,0.222,0.143,0.188,Milan Skriniar,0,1,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",2.525
פטר פקאריק,6,0,D,סלובקיה,6,540,0,1,0.25,6.64,0.857,0.857,0.0,0.143,0.062,Peter Pekarík,0,1,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",1.371
דניס ואברו,5,0,D,סלובקיה,1,90,0,0,0.0,6.54,0.143,0.143,0.0,0.0,0.0,Denis Vavro,0,0,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",0.0
לובומיר שאטקה,5,0,D,סלובקיה,2,180,0,0,0.0,6.595,0.286,0.286,0.0,0.0,0.0,Lubomír Satka,0,1,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",1.0
יאקוב הולובק,4,0,D,סלובקיה,1,141,0,0,0.0,6.51,0.143,0.224,0.0,0.0,0.0,Jakub Holúbek,0,0,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",0.0
תומאש הובוצ'אן,4,0,D,סלובקיה,3,270,0,1,0.5,6.75,0.429,0.429,0.0,0.143,0.062,Tomas Hubocan,0,0,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",0.0
אנדי רוברטסון,6,0,D,סקוטלנד,7,630,0,1,0.5,6.895,0.875,0.875,0.0,0.1,0.045,Andrew Robertson,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-1.789
גרנט הנלי,5,0,D,סקוטלנד,3,270,1,0,1.0,7.11,0.375,0.375,0.083,0.0,0.045,Grant Hanley,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-1.648
קירן טיירני,5,0,D,סקוטלנד,6,529,0,3,0.65,7.25,0.75,0.735,0.0,0.3,0.136,Kieran Tierney,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-1.366
ליאם קופר,4,0,D,סקוטלנד,2,180,0,0,0.0,7.29,0.25,0.25,0.0,0.0,0.0,Liam Cooper,0,0,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-0.0
סטפן אודונל,4,0,D,סקוטלנד,5,433,0,2,0.9,6.77,0.625,0.601,0.0,0.2,0.091,Stephen O'Donnell,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-1.577
סקוט מקנה,4,0,D,סקוטלנד,3,298,0,0,0.25,6.34,0.375,0.414,0.0,0.0,0.0,Scott McKenna,0,0,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-0.0
ג'ק הנדרי,3,0,D,סקוטלנד,2,136,0,0,0.0,6.19,0.25,0.189,0.0,0.0,0.0,Jack Hendry,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-2.0
