,name_h,name_e,team,is_penalty_taker,is_starter
405,כריסטיאנו רונאלדו,Cristiano Ronaldo,פורטוגל,1,1
406,דיוגו ז'וטה,Diogo Jota,פורטוגל,0,1
407,ז'ואאו פליקס,João Félix,פורטוגל,0,0
408,אנדרה סילבה,André Silva,פורטוגל,0,0
409,לוקאס הרדצקי,Lukás Hrádecky,פינלנד,0,1
410,אנסי יאקולה,,פינלנד,0,0
411,יסה יורונן,,פינלנד,0,0
412,ירה אורונן,Jere Uronen,פינלנד,0,0
413,ליאו ואיסנן,Leo Väisänen,פינלנד,0,0
414,ניקולאי אלהו,Nikolai Alho,פינלנד,0,0
415,סאולי ואיסנן,,פינלנד,0,0
416,רוברט איבנוב,,פינלנד,0,0
417,תומאס לאם,Thomas Lam,פינלנד,0,0
418,דניאל אושאוגנסי,Daniel O'Shaughnessy,פינלנד,0,0
419,יונה טויביו,Joona Toivio,פינלנד,0,1
420,יוקה רייטאלה,Jukka Raitala,פינלנד,0,1
421,פאולוס אראיורי,Paulus Arajuuri,פינלנד,0,1
422,אוני ולאקארי,Onni Valakari,פינלנד,0,0
423,לאסי לפאלאינן,Lassi Lappalainen,פינלנד,0,0
424,פרדריק ינסן,Fredrik Jensen,פינלנד,0,0
425,רובין לוד,Robin Lod,פינלנד,0,1
426,גלן קמארה,Glen Kamara,פינלנד,0,1
427,טים ספארב,Tim Sparv,פינלנד,0,1
428,פירי סוירי,Pyry Soiri,פינלנד,0,0
429,רוברט טיילור,Robert Taylor,פינלנד,0,0
430,רסמוס שולר,Rasmus Schüller,פינלנד,0,0
431,יוני קאוקו,Joni Kauko,פינלנד,0,0
432,טימו פוקי,Teemu Pukki,פינלנד,1,1
433,יואל פויינפלו,Joel Pohjanpalo,פינלנד,0,0
434,מרקוס פורס,Marcus Forss,פינלנד,0,1
435,תומאש ואצליק,Tomás Vaclik,צ`כיה,0,1
436,אלש מנדוס,Ales Mandous,צ`כיה,0,0
437,תומאש קובק,Tomás Koubek,צ`כיה,0,0
438,ולדימיר צופאל,Vladimir Coufal,צ`כיה,0,1
439,אונדרי צ'לוסטקה,Ondrej Celustka,צ`כיה,0,1
440,יאן בוז'יל,Jan Boril,צ`כיה,0,1
441,פאבל קדז'אבק,Pavel Kaderábek,צ`כיה,0,0
442,תומאס קאלאס,Tomas Kalas,צ`כיה,0,1
443,דויד זימה,David Zima,צ`כיה,0,0
444,יאקוב ברבץ,Jakub Brabec,צ`כיה,0,0
